DFT Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Addresses,,,
Path,Instance,TMA,type
"XGREENBANK,XceleraCORE,XLDO,XLDOconfigNO1",dft_hex0x01,0x01,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOCONFIGURE1",dft_hex0x02,0x02,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOCONFIGURE20mA",dft_hex0x03,0x03,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOFIXED",dft_hex0x04,0x04,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOFIXED1",dft_hex0x05,0x05,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOSTANDALONE",dft_hex0x06,0x06,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOSTANDALONE20mA",dft_hex0x07,0x07,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO,XLDOUNITY",dft_hex0x08,0x08,DFTtm8t
"XGREENBANK,XceleraCORE,XLDO",dft_hex0x09,0x09,DFTtm8d
"XGREENBANK,XceleraCORE,XSERVICE,XBYPASS",dft_hex0x0A,0x0A,DFTtm8t
"XGREENBANK,XceleraCORE,XSERVICE",dft_hex0x0B,0x0B,DFTtm8
"XGREENBANK,XceleraCORE,XSERVICE",dft_hex0x0C,0x0C,DFTtm8a
"XGREENBANK,XceleraCORE,XSERVICE",dft_hex0x0D,0x0D,DFTtm8a
"XGREENBANK,XceleraCORE,XSERVICE",dft_hex0x0E,0x0E,DFTtm8a
"XGREENBANK,XceleraCORE,XSERVICE",dft_hex0x0F,0x0F,DFTtm8t
"XGREENBANK,XceleraCORE,XU19",dft_hex0x10,0x10,DFTtm8d
