ACCURACY ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Addresses,,,,,,,,,
Description,Name,TMB,Bank,Bits,Location,Por,User,path,rdl_data
Reference5_Curvature_Correction_Accuracy,REFERENCE5curve,0x01,0,6,5:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x01","{'nesto': 'reference_d628bb93', 'fields': [{'desc': 'REFERENCE5curve', 'name': 'REFERENCE5curve', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference5_Curvature_Correction_Accuracy,REFERENCE5curve,0x01,1,7,6:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x01","{'nesto': 'reference_d628bb93', 'fields': [{'desc': 'REFERENCE5curve', 'name': 'REFERENCE5curve', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference4_Curvature_Correction_Accuracy,REFERENCE4curve,0x01,4,6,5:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x01","{'nesto': 'reference_0c0fda20', 'fields': [{'desc': 'REFERENCE4curve', 'name': 'REFERENCE4curve', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference4_Curvature_Correction_Accuracy,REFERENCE4curve,0x01,5,7,6:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x01","{'nesto': 'reference_0c0fda20', 'fields': [{'desc': 'REFERENCE4curve', 'name': 'REFERENCE4curve', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference1_Curvature_Correction_Accuracy,REFERENCE1curve,0x02,0,6,5:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x02","{'nesto': 'reference_c03501a6', 'fields': [{'desc': 'REFERENCE1curve', 'name': 'REFERENCE1curve', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference1_Curvature_Correction_Accuracy,REFERENCE1curve,0x02,1,7,6:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x02","{'nesto': 'reference_c03501a6', 'fields': [{'desc': 'REFERENCE1curve', 'name': 'REFERENCE1curve', 'function': 'code', 'readwrite': 'readonly'}]}"
REFERENCE2_accuracy_0p8V,REFERENCE2accuracy,0x02,4,6,5:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x02","{'nesto': 'currentgenerator_25ffd7d0', 'fields': [{'desc': 'REFERENCE2accuracy', 'name': 'REFERENCE2accuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference0_Curvature_Correction_Accuracy,REFERENCE0curve,0x02,5,6,5:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x02","{'nesto': 'reference_425caed2', 'fields': [{'desc': 'REFERENCE0curve', 'name': 'REFERENCE0curve', 'function': 'code', 'readwrite': 'readonly'}]}"
Reference0_Curvature_Correction_Accuracy,REFERENCE0curve,0x02,6,7,6:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x02","{'nesto': 'reference_425caed2', 'fields': [{'desc': 'REFERENCE0curve', 'name': 'REFERENCE0curve', 'function': 'code', 'readwrite': 'readonly'}]}"
REFERENCE2_accuracy_0p8V,REFERENCE2accuracy,0x03,1,6,5:0,0x00,,"XU1,XceleraCORE,XSERVICE,drm_hex0x03","{'nesto': 'currentgenerator_94421a49', 'fields': [{'desc': 'REFERENCE2accuracy', 'name': 'REFERENCE2accuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
