DFT CELL ADDRESS REPORT (Rich),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
General,,,,,,,,,,
0,,,,,,,,,,
Slave Address 0x54,,,,,,,,,,
Addresses,,,,,,,,,,
File,Cell Desc,Address,Ten,Bit,A/D,Address,Desc,Bit,POR,POR
global_currentgenerator_9f5fab65_XU7,global_currentgenerator_9f5fab65_XU7,0x06,T,5,257,257,257,257,0,0
global_currentgenerator_cce7bb16_XU27,global_currentgenerator_cce7bb16_XU27,0x03,T,7,257,257,257,257,0,0
global_reference_3c5bf086_XU10,global_reference_3c5bf086_XU10,0x02,T,2,257,257,257,257,0,0
global_reference_5667720b_XU4,global_reference_5667720b_XU4,0x05,T,2,257,257,257,257,0,0
global_reference_a52fb31d_XU2,global_reference_a52fb31d_XU2,0x03,T,0,257,257,257,257,0,0
global_reference_befdc28e_XU19,global_reference_befdc28e_XU19,0x02,T,5,257,257,257,257,0,0
ten_051b9c5b_XU34,ten_051b9c5b_XU34,0x04,T,4,A,0x03,TAI_051b9c5b_XU34,6,0,0
ten_08fed655_XUSERVICEreference,ten_08fed655_XUSERVICEreference,0x06,T,7,257,257,257,257,0,0
ten_0a773c88_XU31,ten_0a773c88_XU31,0x04,T,1,A,0x03,TAI_0a773c88_XU31,3,0,0
ten_0ec9f294_XU17,ten_0ec9f294_XU17,0x18,T,2,D,0x18,tdi_0ec9f294_XU17,2,0,0
ten_0f38767e_XU19,ten_0f38767e_XU19,0x0F,T,4,D,0x0F,tdi_0f38767e_XU19,4,0,0
ten_3f8f2ada_XU16,ten_3f8f2ada_XU16,0x0F,T,1,D,0x0F,tdi_3f8f2ada_XU16,1,0,0
ten_3fc9db87_XU22,ten_3fc9db87_XU22,0x18,T,7,D,0x18,tdi_3fc9db87_XU22,7,0,0
ten_4953f3e5_XU6,ten_4953f3e5_XU6,0x05,T,4,257,257,257,257,0,0
ten_4c4345e3_XU17,ten_4c4345e3_XU17,0x0F,T,2,D,0x0F,tdi_4c4345e3_XU17,2,0,0
ten_5f7219c4_XU35,ten_5f7219c4_XU35,0x04,T,5,257,257,257,257,0,0
ten_62fe4817_XU1,ten_62fe4817_XU1,0x18,T,0,D,0x18,tdi_62fe4817_XU1,0,0,0
ten_6d6654a7_XU21,ten_6d6654a7_XU21,0x18,T,6,D,0x18,tdi_6d6654a7_XU21,6,0,0
ten_748f695d_XU20,ten_748f695d_XU20,0x18,T,5,D,0x18,tdi_748f695d_XU20,5,0,0
ten_86429fba_XU18,ten_86429fba_XU18,0x18,T,3,D,0x18,tdi_86429fba_XU18,3,0,0
ten_a45a1301_XU8,ten_a45a1301_XU8,0x0F,T,7,D,0x0F,tdi_a45a1301_XU8,7,0,0
