DRM Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Addresses,,,,,,,,,,,
Path,Instance,TMB,type,7,6,5,4,3,2,1,0
"XU1,XceleraCORE,XSERVICE",drm_hex0x01,0x01,drm64,0x15,0x15,0x00,0x00,0x15,0x15,0x00,0x00
"XU1,XceleraCORE,XSERVICE",drm_hex0x02,0x02,drm64,0x15,0x00,0x00,0x00,0x15,0x15,0x00,0x00
"XU1,XceleraCORE,XSERVICE",drm_hex0x03,0x03,drm16,na,na,na,na,na,na,0x00,0x15
"XU1,XceleraCORE,XU19,XLDOCONFIGURE1",drm_hex0x04,0x04,drm32,na,na,na,na,0x00,0x00,0x00,0x00
"XU1,XceleraCORE,XU19,XLDOCONFIGURE20mA",drm_hex0x05,0x05,drm32,na,na,na,na,0x00,0x00,0x00,0x00
"XU1,XceleraCORE,XU19,XLDOFIXED1",drm_hex0x06,0x06,drm32,na,na,na,na,0x00,0x00,0x00,0x00
"XU1,XceleraCORE,XU19,XLDOSTANDALONE",drm_hex0x07,0x07,drm32,na,na,na,na,0x00,0x00,0x00,0x00
"XU1,XceleraCORE,XU19,XLDOSTANDALONE20mA",drm_hex0x08,0x08,drm32,na,na,na,na,0x00,0x00,0x00,0x00
"XU1,XceleraCORE,XU19,XLDOUNITY",drm_hex0x09,0x09,drm32,na,na,na,na,0x00,0x00,0x00,0x00
DRM to Memory Check,,,,,,,,,,,
TOTAL dec,Allowed <= 61,,,,,,,,,,
51.0,61,,,,,,,,,,
