REGISTER DETAIL ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
0,,,,,,,
Name,Slave,Address,Location,Por,r/w,Description,rdl_data
AMPCONTROLHIGHgain,0x00,0x10,2:0,0x00,rw,AMP CONTROL High gain adjustmentCode 0x00 1Code 0x01 2Code 0x02 3Code 0x03 4Code 0x04 5Code 0x05 6Code 0x06 7Code 0x07 8,"{'fields': [{'desc': 'AMP_CONTROL_High_gain_adjustment', 'name': 'AMPCONTROLHIGHgain', 'enums': [{'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}], 'function': 'code', 'readwrite': 'readwrite'}]}"
AMPCONTROLMEDIUMgain,0x00,0x11,2:0,0x00,rw,AMP CONTROL Medium gain adjustmentCode 0x00 1Code 0x01 2Code 0x02 3Code 0x03 4Code 0x04 5Code 0x05 6Code 0x06 7Code 0x07 8,"{'fields': [{'desc': 'AMP_CONTROL_Medium_gain_adjustment', 'name': 'AMPCONTROLMEDIUMgain', 'enums': [{'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}], 'function': 'code', 'readwrite': 'readwrite'}]}"
AMPCONTROLSLOWgain,0x00,0x12,2:0,0x00,rw,AMP CONTROL Slow gain adjustmentCode 0x00 0.8VCode 0x01 0.96VCode 0x02 1.12VCode 0x03 1.28VCode 0x04 1.44VCode 0x05 1.60VCode 0x06 1.76VCode 0x07 1.92V,"{'fields': [{'desc': 'AMP_CONTROL_Slow_gain_adjustment', 'name': 'AMPCONTROLSLOWgain', 'enums': [{'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}], 'function': 'code', 'readwrite': 'readwrite'}]}"
AMPLIFIERconfiguration,0x00,0x13,7:0,0x00,rw,AMPLIFER configurationBit0 LDO0 0:disable 1:disableBit1 LDO1 0:disable 1:disableBit2 LDO2 0:disable 1:disableBit3 LDO3 0:disable 1:disableBit4 LDO4 0:disable 1:disableBit5 LDO5 0:disable 1:disableBit6 LDO6 0:disable 1:disableBit7 LDO7 0:disable 1:disable,"{'fields': [{'desc': 'LDO0', 'name': 'LDO0', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO1', 'name': 'LDO1', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO2', 'name': 'LDO2', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO3', 'name': 'LDO3', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO4', 'name': 'LDO4', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO5', 'name': 'LDO5', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO6', 'name': 'LDO6', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO7', 'name': 'LDO7', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
LDOconfigurationA,0x00,0x14,3:0,0x00,rw,LDO configurationABit0 LDO8 0:disable 1:enableBit1 LDO9 0:disable 1:enableBit2 LDO10 0:disable 1:enableBit3 LDO11 0:disable 1:enable,"{'fields': [{'desc': 'LDO8', 'name': 'LDO8', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO9', 'name': 'LDO9', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO10', 'name': 'LDO10', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO11', 'name': 'LDO11', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
LDOconfigurationA,0x00,0x15,3:0,0x00,rw,LDO configurationABit0 LDO8 0:disable 1:enableBit1 LDO9 0:disable 1:enableBit2 LDO10 0:disable 1:enableBit3 LDO11 0:disable 1:enable,"{'fields': [{'desc': 'LDO8', 'name': 'LDO8', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO9', 'name': 'LDO9', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO10', 'name': 'LDO10', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'LDO11', 'name': 'LDO11', 'enums': [{'desc': 'disable', 'name': 'disable'}, {'desc': 'enable', 'name': 'enable'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
REF2output,0x00,0x16,2:0,0x00,rw,Reference2 outputCode 0x00 0.68VCode 0x01 0.71VCode 0x02 0.74VCode 0x03 0.78VCode 0x04 0.8VCode 0x05 0.84VCode 0x06 0.87VCode 0x07 0.9V,"{'fields': [{'desc': 'Reference2_output', 'name': 'REF2output', 'enums': [{'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}], 'function': 'code', 'readwrite': 'readwrite'}]}"
