TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
"{""TAEXT"": ""5"", ""tdext"": ""6"", ""TAO"": ""8"", ""tdo"": ""7""}",,,,,,,,
Slave Address Ox55,,,,,,,,
"XU1,XceleraCORE,XSERVICE,XBYPASS",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
oscillator_924d4d4f,No desciption,dft_hex0x01,DFTtm8t,Ox55,0x01,0x01,0,ten
dft_hex0x01_ten,No desciption,dft_hex0x01,DFTtm8t,Ox55,0x01,0x01,7,ten
"XU1,XceleraCORE,XSERVICE",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
REF_8285af71,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,0,TAI
REFBG_8285af71,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,1,TAI
REF_408a39ad,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,2,TAI
REFBG_408a39ad,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,3,TAI
REF_a9100825,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,4,TAI
REFBG_a9100825,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,5,TAI
N5UREF_c99e7035,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,6,TAI
P5UREF_c99e7035,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,7,TAI
ok_currentgenerator_c99e7035,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,0,tdi
05e94e40,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,1,tdi
15105193,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,2,tdi
7f2c8f5c,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,3,tdi
ok_currentgenerator_b38e83c8,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,4,tdi
a0,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x02,7,tdi
ref_8285af71,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x01,0,ten
refbg_8285af71,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x01,1,ten
reference_8285af71,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x01,2,ten
ref_408a39ad,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x01,3,ten
refbg_408a39ad,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x01,4,ten
reference_408a39ad,No desciption,dft_hex0x02,DFTtm8,Ox55,0x02,0x01,5,ten
