DFT CELL ADDRESS REPORT (Rich),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
General,,,,,,,,,,
0,,,,,,,,,,
Slave Address Ox55,,,,,,,,,,
Addresses,,,,,,,,,,
File,Cell Desc,Address,Ten,Bit,A/D,Address,Desc,Bit,POR,POR
global_currentgenerator_b38e83c8_XU7,global_currentgenerator_b38e83c8_XU7,0x06,T,5,257,257,257,257,0,0
global_currentgenerator_c99e7035_XU27,global_currentgenerator_c99e7035_XU27,0x03,T,7,257,257,257,257,0,0
global_reference_408a39ad_XU19,global_reference_408a39ad_XU19,0x02,T,5,257,257,257,257,0,0
global_reference_5bd609b6_XU4,global_reference_5bd609b6_XU4,0x05,T,2,257,257,257,257,0,0
global_reference_8285af71_XU10,global_reference_8285af71_XU10,0x02,T,2,257,257,257,257,0,0
global_reference_a9100825_XU2,global_reference_a9100825_XU2,0x03,T,0,257,257,257,257,0,0
ten_05e94e40_XU35,ten_05e94e40_XU35,0x04,T,5,257,257,257,257,0,0
ten_10984a03_XU21,ten_10984a03_XU21,0x18,T,6,D,0x18,tdi_10984a03_XU21,6,0,0
ten_1271fc3d_XU1,ten_1271fc3d_XU1,0x18,T,0,D,0x18,tdi_1271fc3d_XU1,0,0,0
ten_15105193_XU36,ten_15105193_XU36,0x04,T,6,257,257,257,257,0,0
ten_247462ee_XU18,ten_247462ee_XU18,0x18,T,3,D,0x18,tdi_247462ee_XU18,3,0,0
ten_28635dfc_XU19,ten_28635dfc_XU19,0x18,T,4,D,0x18,tdi_28635dfc_XU19,4,0,0
ten_2ee47580_XU20,ten_2ee47580_XU20,0x18,T,5,D,0x18,tdi_2ee47580_XU20,5,0,0
ten_3412c472_XU16,ten_3412c472_XU16,0x18,T,1,D,0x18,tdi_3412c472_XU16,1,0,0
ten_4aa1f428_XU39,ten_4aa1f428_XU39,0x04,T,7,A,0x03,TAI_4aa1f428_XU39,7,0,0
ten_50bed958_XU16,ten_50bed958_XU16,0x0F,T,1,D,0x0F,tdi_50bed958_XU16,1,0,0
ten_6d6c90ed_XU5,ten_6d6c90ed_XU5,0x0F,T,5,D,0x0F,tdi_6d6c90ed_XU5,5,0,0
ten_7f02331b_XU17,ten_7f02331b_XU17,0x18,T,2,D,0x18,tdi_7f02331b_XU17,2,0,0
ten_7f2c8f5c_XU6,ten_7f2c8f5c_XU6,0x05,T,4,257,257,257,257,0,0
ten_7faccc12_XU17,ten_7faccc12_XU17,0x0F,T,2,D,0x0F,tdi_7faccc12_XU17,2,0,0
ten_85a87206_XU31,ten_85a87206_XU31,0x04,T,1,A,0x03,TAI_85a87206_XU31,3,0,0
