PAD REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Package TQFN3255,,,,,,,,,,
Number,Name,Description,Abs Min,Wrt Min,Abs Max,Wrt Max,ESD Rating,ESD Connect,Imax,User
1,MUDV,Supply,-0.3,MUDG,6,MUDG,2KV,ESDcore6 MUDV -> GESD & ESDcore6 CELPOWER_LDO -> GESD,na,yes
2,CELINA,DFT analog input testmode pad (Connect to GND),-0.3,MUDG,6,MUDG,2KV,ESDcore6 CELINA -> GESD,na,no
3,CELIND,DFT digital input testmode pad (Connect to GND),-0.3,MUDG,6,MUDG,2KV,ESDcore6 CELIND -> GESD,na,no
4,MUDG,Ground,-0.3,MUDG,6,MUDG,2KV,,na,yes
5,NC,No Connect,na,na,na,na,na,na,na,na
6,NC,No Connect,na,na,na,na,na,na,na,na
7,NC,No Connect,na,na,na,na,na,na,na,na
8,NC,No Connect,na,na,na,na,na,na,na,na
9,NC,No Connect,na,na,na,na,na,na,na,na
10,NC,No Connect,na,na,na,na,na,na,na,na
11,NC,No Connect,na,na,na,na,na,na,na,na
12,LDO15,description,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO15 & ESDdiode LDO15 -> GESD,na,yes
13,LDO14,LDO14,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO14 & ESDdiode LDO14 -> GESD,na,yes
14,LDO13,LDO13,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO13 & ESDdiode LDO13 -> GESD,na,yes
15,LDO12,LDO12,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO12 & ESDdiode LDO12 -> GESD,na,yes
16,NC,No Connect,na,na,na,na,na,na,na,na
17,NC,No Connect,na,na,na,na,na,na,na,na
18,NC,No Connect,na,na,na,na,na,na,na,na
19,LDO11,LDO11,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO11 & ESDdiode LDO11 -> GESD,na,yes
20,LDO10,Data1,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO10 & ESDdiode LDO10 -> GESD,na,yes
21,LDO9,LDO9,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO9 & ESDdiode LDO9 -> GESD,na,yes
22,LDO8,LDO8,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO8 & ESDdiode LDO8 -> GESD,na,yes
23,LDO7,LDO7,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO7 & ESDdiode LDO7 -> GESD,na,yes
24,NC,No Connect,na,na,na,na,na,na,na,na
25,LDO6,LDO6,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO6 & ESDdiode LDO6 -> GESD,na,yes
26,LDO5,LDO5,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO5 & ESDdiode LDO5 -> GESD,na,yes
27,LDO4,LDO4,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO4 & ESDdiode LDO4 -> GESD,na,yes
28,LDO3,LDO3,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO3 & ESDdiode LDO3 -> GESD,na,yes
29,LDO2,LDO2,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO2 & ESDdiode LDO2 -> GESD,na,yes
30,LDO1,LDO1,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO1 & ESDdiode LDO1 -> GESD,na,yes
31,LDO0,LDO0,-0.3,MUDG,0.3,MUDV,2KV,ESDdiode MUDV -> LDO0 & ESDdiode LDO0 -> GESD,na,yes
32,NC,No Connect,na,na,na,na,na,na,na,na
