Register Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Addresses,,,,,,
Path,Instance,TMA,type,Bits,Start,POR
,AMPCONTROLHIGHgain,0x10,rw,3,0,0x00
,AMPCONTROLMEDIUMgain,0x11,rw,3,0,0x00
,AMPCONTROLSLOWgain,0x12,rw,3,0,0x00
,AMPLIFIERconfiguration,0x13,rw,8,0,0x00
,LDOconfigurationA,0x14,rw,4,0,0x00
,LDOconfigurationA,0x15,rw,4,0,0x00
,REF2output,0x16,rw,3,0,0x00
,REF3output,0x17,rw,3,0,0x00
,REFERENCEselect,0x20,rw,3,0,0x00
,SERVICEconfiguration,0x21,rw,6,0,0x00
,XU2,0x22,ro,0,0,0xFF
,XU2,0x23,ro,0,0,0xFF
