TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
"{""TAEXT"": ""5"", ""TAO"": ""7"", ""tdo"": ""6""}",,,,,,,,
Slave Address 0x54,,,,,,,,
"XU3,XceleraCORE,XSERVICE,XBYPASS",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
oscillator_2f9d3d8e,No desciption,dft_hex0x01,DFTtm8t,0x54,0x01,0x01,0,ten
dft_hex0x01_ten,No desciption,dft_hex0x01,DFTtm8t,0x54,0x01,0x01,7,ten
"XU3,XceleraCORE,XSERVICE",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
REF_3c5bf086,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,0,TAI
REFBG_3c5bf086,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,1,TAI
REF_befdc28e,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,2,TAI
REFBG_befdc28e,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,3,TAI
REF_a52fb31d,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,4,TAI
REFBG_a52fb31d,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,5,TAI
N5UREF_cce7bb16,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,6,TAI
P5UREF_cce7bb16,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,7,TAI
ok_currentgenerator_cce7bb16,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,0,tdi
5f7219c4,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,1,tdi
db22ef05,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,2,tdi
4953f3e5,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,3,tdi
ok_currentgenerator_9f5fab65,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,4,tdi
a0,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x02,7,tdi
ref_3c5bf086,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,0,ten
refbg_3c5bf086,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,1,ten
reference_3c5bf086,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,2,ten
ref_befdc28e,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,3,ten
refbg_befdc28e,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,4,ten
reference_befdc28e,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,5,ten
ref_a52fb31d,No desciption,dft_hex0x02,DFTtm8,0x54,0x02,0x01,6,ten
