DFT Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Addresses,,,
Path,Instance,TMA,type
"XU1,XceleraCORE,XSERVICE,XBYPASS",dft_hex0x01,0x01,DFTtm8t
"XU1,XceleraCORE,XSERVICE",dft_hex0x02,0x02,DFTtm8
"XU1,XceleraCORE,XSERVICE",dft_hex0x03,0x03,DFTtm8a
"XU1,XceleraCORE,XSERVICE",dft_hex0x04,0x04,DFTtm8a
"XU1,XceleraCORE,XSERVICE",dft_hex0x05,0x05,DFTtm8a
"XU1,XceleraCORE,XSERVICE",dft_hex0x06,0x06,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOconfigNO1",dft_hex0x07,0x07,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOCONFIGURE1",dft_hex0x08,0x08,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOCONFIGURE20mA",dft_hex0x09,0x09,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOFIXED",dft_hex0x0A,0x0A,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOFIXED1",dft_hex0x0B,0x0B,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOSTANDALONE",dft_hex0x0C,0x0C,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOSTANDALONE20mA",dft_hex0x0D,0x0D,DFTtm8t
"XU1,XceleraCORE,XU19,XLDOUNITY",dft_hex0x0E,0x0E,DFTtm8t
"XU1,XceleraCORE,XU19",dft_hex0x0F,0x0F,DFTtm8d
"XU1,XceleraCORE,XU20,XAMPCONTROLhigh",dft_hex0x10,0x10,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPCONTROLlow",dft_hex0x11,0x11,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPCONTROLmedium",dft_hex0x12,0x12,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPFIXEDlow",dft_hex0x13,0x13,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPFIXEDmedium",dft_hex0x14,0x14,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPOPENhigh",dft_hex0x15,0x15,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPOPENlow",dft_hex0x16,0x16,DFTtm8t
"XU1,XceleraCORE,XU20,XAMPOPENmedium",dft_hex0x17,0x17,DFTtm8t
"XU1,XceleraCORE,XU20",dft_hex0x18,0x18,DFTtm8d
