DFT CELL DBUF ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
"XLOOP,XATE",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
XLOOP_XATE_XU11_dbuf0,No desciption,dft_hex0x0,DFTtm8d,0,0x00,0x01,6,ten
XLOOP_XATE_XU11_dbuf1,No desciption,dft_hex0x0,DFTtm8d,0,0x00,0x01,7,ten
XLOOP_XATE_XU4_dbuf0,No desciption,dft_hex0x1,DFTtm8t,0,0x01,0x01,0,ten
XLOOP_XATE_XU4_dbuf1,No desciption,dft_hex0x1,DFTtm8t,0,0x01,0x01,1,ten
XLOOP_XATE_XU6_dbuf0,No desciption,dft_hex0x1,DFTtm8t,0,0x01,0x01,2,ten
XLOOP_XATE_XU6_dbuf1,No desciption,dft_hex0x1,DFTtm8t,0,0x01,0x01,3,ten
"XLOOP,XDRIVER,XBOTSW",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
XLOOP_XDRIVER_XBOTSW_XU12_dbuf0,No desciption,dft_hex0x5,DFTtm8t,0,0x05,0x01,6,ten
XLOOP_XDRIVER_XBOTSW_XU12_dbuf1,No desciption,dft_hex0x5,DFTtm8t,0,0x05,0x01,7,ten
"XLOOP,XDRIVER,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
XLOOP_XDRIVER_XDEBUG_XU24_dbuf0,No desciption,dft_hex0x8,DFTtm8d,0,0x08,0x01,5,ten
XLOOP_XDRIVER_XDEBUG_XU24_dbuf1,No desciption,dft_hex0x8,DFTtm8d,0,0x08,0x01,6,ten
XLOOP_XDRIVER_XDEBUG_XU27_dbuf0,No desciption,dft_hex0x8,DFTtm8d,0,0x08,0x01,7,ten
XLOOP_XDRIVER_XDEBUG_XU27_dbuf1,No desciption,dft_hex0x9,DFTtm8t,0,0x09,0x01,0,ten
XLOOP_XDRIVER_XDEBUG_XU9_dbuf0,No desciption,dft_hex0x9,DFTtm8t,0,0x09,0x01,1,ten
XLOOP_XDRIVER_XDEBUG_XU9_dbuf1,No desciption,dft_hex0x9,DFTtm8t,0,0x09,0x01,2,ten
"XLOOP,XFEEDBACK,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
XLOOP_XFEEDBACK_XDEBUG_XU11_dbuf0,No desciption,dft_hex0xc,DFTtm8d,0,0x0C,0x01,3,ten
XLOOP_XFEEDBACK_XDEBUG_XU11_dbuf1,No desciption,dft_hex0xc,DFTtm8d,0,0x0C,0x01,4,ten
"XLOOP,XREG,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
XLOOP_XREG_XDEBUG_XU11_dbuf0,No desciption,dft_hex0xe,DFTtm8,0,0x0E,0x01,7,ten
XLOOP_XREG_XDEBUG_XU11_dbuf1,No desciption,dft_hex0xf,DFTtm8t,0,0x0F,0x01,0,ten
"XLOOP,XREG,XFREQ",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
XLOOP_XREG_XFREQ_XU10_dbuf0,No desciption,dft_hex0x10,DFTtm8d,0,0x10,0x01,5,ten
XLOOP_XREG_XFREQ_XU10_dbuf1,No desciption,dft_hex0x10,DFTtm8d,0,0x10,0x01,6,ten
XLOOP_XREG_XFREQ_XU24_dbuf0,No desciption,dft_hex0x10,DFTtm8d,0,0x10,0x01,7,ten
XLOOP_XREG_XFREQ_XU24_dbuf1,No desciption,dft_hex0x11,DFTtm8t,0,0x11,0x01,0,ten
