DFT DBUF ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
"XLOOP,XATE,dft_hex0x0",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XATE_XU11,,0,0x00,6,0x00,7
"XLOOP,XATE,dft_hex0x1",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XATE_XU4,,0,0x01,0,0x01,1
XLOOP_XATE_XU6,,0,0x01,2,0x01,3
"XLOOP,XDRIVER,XBOTSW,dft_hex0x5",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XDRIVER_XBOTSW_XU12,,0,0x05,6,0x05,7
"XLOOP,XDRIVER,XDEBUG,dft_hex0x8",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XDRIVER_XDEBUG_XU24,,0,0x08,5,0x08,6
XLOOP_XDRIVER_XDEBUG_XU27,,0,0x08,7,0x09,0
"XLOOP,XDRIVER,XDEBUG,dft_hex0x9",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XDRIVER_XDEBUG_XU9,,0,0x09,1,0x09,2
"XLOOP,XFEEDBACK,XDEBUG,dft_hex0xc",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XFEEDBACK_XDEBUG_XU11,,0,0x0C,3,0x0C,4
"XLOOP,XREG,XDEBUG,dft_hex0xe",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XREG_XDEBUG_XU11,,0,0x0E,7,0x0F,0
"XLOOP,XREG,XFREQ,dft_hex0x10",,,,,,
Name,Function,Slave,dbuf0 tma,dbuf0 bit,dbuf1 tma,dbuf1 bit
XLOOP_XREG_XFREQ_XU10,,0,0x10,5,0x10,6
XLOOP_XREG_XFREQ_XU24,,0,0x10,7,0x11,0
