DFT Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Addresses,,,
Path,Instance,TMA,type
"XLOOP,XATE",dft_hex0x0,0x00,DFTtm8d
"XLOOP,XATE",dft_hex0x1,0x01,DFTtm8t
"XLOOP,XCONTROL",dft_hex0x2,0x02,DFTtm8d
"XLOOP,XCONTROL",dft_hex0x3,0x03,DFTtm8d
"XLOOP,XDRIVER,XBOTSW",dft_hex0x4,0x04,DFTtm8d
"XLOOP,XDRIVER,XBOTSW",dft_hex0x5,0x05,DFTtm8t
"XLOOP,XDRIVER,XBOTSW",dft_hex0x6,0x06,DFTtm8t
"XLOOP,XDRIVER,XDEBUG",dft_hex0x7,0x07,DFTtm8d
"XLOOP,XDRIVER,XDEBUG",dft_hex0x8,0x08,DFTtm8d
"XLOOP,XDRIVER,XDEBUG",dft_hex0x9,0x09,DFTtm8t
"XLOOP,XDRIVER,XTOPSW",dft_hex0xa,0x0A,DFTtm8
"XLOOP,XDRIVER,XTOPSW",dft_hex0xb,0x0B,DFTtm8t
"XLOOP,XFEEDBACK,XDEBUG",dft_hex0xc,0x0C,DFTtm8d
"XLOOP,XFEEDBACK,XFB",dft_hex0xd,0x0D,DFTtm8t
"XLOOP,XREG,XDEBUG",dft_hex0xe,0x0E,DFTtm8
"XLOOP,XREG,XDEBUG",dft_hex0xf,0x0F,DFTtm8t
"XLOOP,XREG,XFREQ",dft_hex0x10,0x10,DFTtm8d
"XLOOP,XREG,XFREQ",dft_hex0x11,0x11,DFTtm8t
