DRM Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Addresses,,,,,,,,,,,
Path,Instance,TMB,type,7,6,5,4,3,2,1,0
"XLOOP,XDRIVER,XBBMDRIVER",drm_hex0x0,0x00,drm16,na,na,na,na,na,na,0x00,0x00
"XLOOP,XDRIVER,XBOTDRIVER",drm_hex0x2,0x02,drm48,na,na,0x00,0x00,0x00,0x00,0x00,0x60
"XLOOP,XDRIVER,XBOTDRIVER",drm_hex0xa,0x0A,drm16L,na,na,na,na,na,na,na,na
"XLOOP,XDRIVER,XTOPDRIVER",drm_hex0xc,0x0C,drm24,na,na,na,na,na,0x00,0x00,0x20
"XLOOP,XDRIVER,XTOPDRIVER",drm_hex0x10,0x10,drm8L,na,na,na,na,na,na,na,na
"XLOOP,XFEEDBACK,XU1",drm_hex0x12,0x12,drm8,na,na,na,na,na,na,na,0x06
"XLOOP,XREGULATION,XU2",drm_hex0x14,0x14,drm16,na,na,na,na,na,na,0x01,0x40
"XLOOP,XREGULATION,XU2",drm_hex0x16,0x16,drm48L,na,na,na,na,na,na,na,na
"XLOOP,XREGULATION,XU7",drm_hex0x1e,0x1E,drm8,na,na,na,na,na,na,na,0x00
