ACCURACY ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Addresses,,,,,,,,,
Description,Name,TMB,Bank,Bits,Location,Por,User,path,rdl_data
CLOCK_accuracy_at_400KHz_50K,CLOCKaccuracy,0x01,0,5,4:0,0x00,,"XWALTZ,XceleraCORE,XCLOCK,XMAIN,drm_hex0x01","{'nesto': 'oscillator_d9a22b83', 'fields': [{'desc': 'CLOCKaccuracy', 'name': 'CLOCKaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
CLOCK_accuracy_at_400KHz_50K,CLOCKaccuracy,0x01,0,3,7:5,0x00,,"XWALTZ,XceleraCORE,XCLOCK,XMAIN,drm_hex0x01","{'nesto': 'oscillator_d9a22b83', 'fields': [{'desc': 'CLOCKaccuracy', 'name': 'CLOCKaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
CLOCK_accuracy_at_400KHz_50K,CLOCKaccuracy,0x01,1,5,4:0,0x00,,"XWALTZ,XceleraCORE,XCLOCK,XMAIN,drm_hex0x01","{'nesto': 'oscillator_d9a22b83', 'fields': [{'desc': 'CLOCKaccuracy', 'name': 'CLOCKaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
CLOCK_accuracy_at_400KHz_50K,CLOCKaccuracy,0x01,1,3,7:5,0x00,,"XWALTZ,XceleraCORE,XCLOCK,XMAIN,drm_hex0x01","{'nesto': 'oscillator_d9a22b83', 'fields': [{'desc': 'CLOCKaccuracy', 'name': 'CLOCKaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
Lowside_Negative_Current_Accuracy,botswinegacc,0x06,0,8,7:0,0x00,,"XWALTZ,XceleraCORE,XDRIVER,XBOTSW,drm_hex0x06","{'nesto': 'currentlimitfet_282c42a8', 'fields': [{'desc': 'botswinegacc', 'name': 'botswinegacc', 'function': 'code', 'readwrite': 'readonly'}]}"
BottomSW_Zcross,botswzcrossacc,0x06,1,8,7:0,0x00,,"XWALTZ,XceleraCORE,XDRIVER,XBOTSW,drm_hex0x06","{'nesto': 'currentlimitfet_bdeab8a2', 'fields': [{'desc': 'botswzcrossacc', 'name': 'botswzcrossacc', 'function': 'code', 'readwrite': 'readonly'}]}"
Lowside_Zero_Cross_Accuracy,botswipeakacc,0x06,2,8,7:0,0x00,,"XWALTZ,XceleraCORE,XDRIVER,XBOTSW,drm_hex0x06","{'nesto': 'currentlimitfet_2899e616', 'fields': [{'desc': 'botswipeakacc', 'name': 'botswipeakacc', 'function': 'code', 'readwrite': 'readonly'}]}"
Highside_Current_Limit_Trim,TOPSWITCHaccuracy,0x07,0,8,7:0,0x00,,"XWALTZ,XceleraCORE,XDRIVER,XTOPSW,drm_hex0x07","{'nesto': 'currentlimitfet_e27944c0', 'fields': [{'desc': 'TOPSWITCHaccuracy', 'name': 'TOPSWITCHaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
Trim_Slope_Comp_Amplitude,SLOPECOMPENSATIONaccuracy,0x07,2,4,3:0,0x00,,"XWALTZ,XceleraCORE,XDRIVER,XTOPSW,drm_hex0x07","{'nesto': 'slopecomp_00a4cb3c', 'fields': [{'desc': 'SLOPECOMPENSATIONaccuracy', 'name': 'SLOPECOMPENSATIONaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
Thermal_shutdowen,THERMALaccuracy,0x08,0,3,2:0,0x00,,"XWALTZ,XceleraCORE,XFAULTMANAGER,XMAIN,drm_hex0x08","{'nesto': 'thermal_b84c0fbd', 'fields': [{'desc': 'THERMALaccuracy', 'name': 'THERMALaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
