FACTORY ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Addresses,,,,,,,,,
Description,Name,TMB,Bank,Bits,Location,Por,User,path,rdl_data
Adjust_Minimum_off_time,CLOCKofftime,0x02,0,4,3:0,0x09,,"XWALTZ,XceleraCORE,XCLOCK,drm_hex0x02","{'nesto': '', 'fields': [{'desc': 'Adjust_Minimum_off_time', 'name': 'CLOCKofftime', 'enums': [{'desc': '0.0ns', 'name': 'Threshold_0.0ns'}, {'desc': '8.0ns', 'name': 'Threshold_8.0ns'}, {'desc': '16.0ns', 'name': 'Threshold_16.0ns'}, {'desc': '24.0ns', 'name': 'Threshold_24.0ns'}, {'desc': '32.0ns', 'name': 'Threshold_32.0ns'}, {'desc': '40.0ns', 'name': 'Threshold_40.0ns'}, {'desc': '48.0ns', 'name': 'Threshold_48.0ns'}, {'desc': '56.0ns', 'name': 'Threshold_56.0ns'}, {'desc': '64.0ns', 'name': 'Threshold_64.0ns'}, {'desc': '72.0ns', 'name': 'Threshold_72.0ns'}, {'desc': '80.0ns', 'name': 'Threshold_80.0ns'}, {'desc': '88.0ns', 'name': 'Threshold_88.0ns'}, {'desc': '96.0ns', 'name': 'Threshold_96.0ns'}, {'desc': '104.0ns', 'name': 'Threshold_104.0ns'}, {'desc': '112.0ns', 'name': 'Threshold_112.0ns'}, {'desc': '120.0ns', 'name': 'Threshold_120.0ns'}], 'function': 'range', 'range_lsb': 8.0, 'readwrite': 'readwrite', 'range_start': 0.0, 'range_units': 'ns'}]}"
Algorithm5p9_STATE_control,Algorithm5p9_statecontrol,0x03,0,5,4:0,0x10,,"XWALTZ,XceleraCORE,XCONTROL,XCONTROL,drm_hex0x03","{'nesto': '', 'fields': [{'desc': 'Algorithm5p9_STATE_control', 'name': 'Algorithm5p9_statecontrol', 'enums': [{'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}, {'desc': '', 'name': ''}], 'function': 'code', 'readwrite': 'readonly'}]}"
CONTROL_configuration,CONTROLconfiguration,0x04,0,3,2:0,0x03,,"XWALTZ,XceleraCORE,XCONTROL,drm_hex0x04","{'nesto': '', 'fields': [{'desc': 'Operating_Mode', 'name': 'Operating_Mode', 'enums': [{'desc': 'Discontinous', 'name': 'Discontinous'}, {'desc': 'Continous', 'name': 'Continous'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'Blank_bottom', 'name': 'Blank_bottom', 'enums': [{'desc': 'Maximum_on_time_fault', 'name': 'Maximum_on_time_fault'}, {'desc': 'Blank_maximum_on_time', 'name': 'Blank_maximum_on_time'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'Blank_refresh', 'name': 'Blank_refresh', 'enums': [{'desc': 'Refresh_with_ok_driver', 'name': 'Refresh_with_ok_driver'}, {'desc': 'Blank_refresh', 'name': 'Blank_refresh'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
BBM_Status_Enabled,BBMstatus,0x05,0,2,1:0,0x03,,"XWALTZ,XceleraCORE,XDRIVER,XBBM,drm_hex0x05","{'nesto': '', 'fields': [{'desc': 'Bottom_status', 'name': 'Bottom_status', 'enums': [{'desc': 'Enable', 'name': 'Enable'}, {'desc': 'Disable', 'name': 'Disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'Top_status', 'name': 'Top_status', 'enums': [{'desc': 'Enable', 'name': 'Enable'}, {'desc': 'Disable', 'name': 'Disable'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
TOP_Switch_on_delay,TOPSWITCHstatusDELAY,0x05,0,5,6:2,0x12,,"XWALTZ,XceleraCORE,XDRIVER,XBBM,drm_hex0x05","{'nesto': 'timingskew_d7d32aa0', 'fields': [{'desc': 'TOPSWITCHstatusDELAY', 'name': 'TOPSWITCHstatusDELAY', 'function': 'code', 'readwrite': 'readonly'}]}"
BOT_Switch_on_delay,BOTTOMSWITCHstatusDELAY,0x05,1,5,4:0,0x12,,"XWALTZ,XceleraCORE,XDRIVER,XBBM,drm_hex0x05","{'nesto': 'timingskew_b5de11eb', 'fields': [{'desc': 'BOTTOMSWITCHstatusDELAY', 'name': 'BOTTOMSWITCHstatusDELAY', 'function': 'code', 'readwrite': 'readonly'}]}"
Highside_Current_Limit_Trim,TOPSWITCHaccuracy,0x07,1,5,4:0,0x10,,"XWALTZ,XceleraCORE,XDRIVER,XTOPSW,drm_hex0x07","{'nesto': 'currentlimitfet_e27944c0', 'fields': [{'desc': 'TOPSWITCHaccuracy', 'name': 'TOPSWITCHaccuracy', 'function': 'code', 'readwrite': 'readonly'}]}"
