Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,1082
inv,193
nand2,148
dbuf,122
noconn,107
nor3,61
dftprobeModel0,61
delayfixed,55
nand3,50
celeranoconn,45
srlatch,40
nor2,35
dftmodule,25
dfthijack,16
dff,16
tie,11
datamap0,11
brick,9
dftprobeModel2,7
PEBBLEtielo,6
resistor,4
oneshot,4
fetdn,4
currentlimitfet,4
comparatornoctlpins,4
ESDminiClamp6,4
timingskew,3
switchpulldown,3
resistordivider,3
delayclock,3
amux2,3
wrapper,2
vbuffer,2
switchtransmission,2
switchpullup,2
fetdriver,2
decoder3,2
capacitorfixed,2
PEBBLEtiehi,2
voltage2current,1
vbias,1
thermal,1
switchtswitch,1
switchideal,1
slopecomp,1
reference,1
porb,1
padopendrain,1
paddigitalinput,1
oscillatorcrude,1
oscillator,1
nor4,1
gm,1
datamap1,1
clocksync,1
clamp,1
celeradacr2r,1
cboot,1
capacitoradj,1
PEBBLEdbuf,1
