Nesto Usage Report,Unnamed: 1
,
0,
Nesto,Qty
pinprobe,1082
inv,193
noconn,157
nand2,148
dbuf,122
nor3,61
delayfixed,55
nand3,50
celeranoconn,45
srlatch,40
nor2,35
wrapper,18
dff,16
tie,11
datamap0,11
brick,9
drmmodule,8
PEBBLEtielo,8
resistor,4
oneshot,4
fetdn,4
currentlimitfet,4
comparatornoctlpins,4
ESDminiClamp6,4
timingskew,3
switchpulldown,3
resistordivider,3
delayclock,3
amux2,3
vbuffer,2
switchtransmission,2
switchpullup,2
fetdriver,2
decoder3,2
capacitorfixed,2
voltage2current,1
vbias,1
thermal,1
switchtswitch,1
switchideal,1
slopecomp,1
reference,1
porb,1
padopendrain,1
paddigitalinput,1
oscillatorcrude,1
oscillator,1
nor4,1
gm,1
datamap1,1
clocksync,1
clamp,1
celeradacr2r,1
cboot,1
capacitoradj,1
PEBBLEdbuf,1
