PAD REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Package TQFN3255,,,,,,,,,,
Number,Name,Description,Abs Min,Wrt Min,Abs Max,Wrt Max,ESD Rating,ESD Connect,Imax,User
1,IN,Core_Supply,-0.3,GND,60,GND,2KV,ESDcore60 IN -> GESD & ESDcore60 PIN -> GESD,na,yes
2,EN,Chip_Enable,-0.3,GND,60,GND,2KV,ESDcore60 EN -> GESD,na,yes
3,POK,PopwerGood_Open_Drain_output,-0.3,GND,6,GND,2KV,ESDcore6 POK -> GESD,na,yes
4,FSET,Frequency_Set_Resistor_Connect_to_Ground,-0.3,GND,6,GND,2KV,ESDcore6 FSET -> GESD,na,yes
5,VCC,VCC_Core_Supply,-0.3,GND,6,GND,2KV,ESDcore6 VCC -> GESD & ESDcore6 PVCC -> GESD,na,yes
6,SYNC,Clock_Synchronization_Input,-0.3,GND,6,GND,2KV,ESDcore6 SYNC -> GESD,na,yes
7,FB,External_Feedback_input,-0.3,GND,6,GND,2KV,ESDcore6 FB -> GESD,na,yes
8,GND,Analog_ground,-0.3,GND,0.3,GND,2KV,,na,yes
9,BIAS,VBAIS_input_bootstrap_supply,-0.3,GND,20,GND,2KV,ESDcore20 BIAS -> GESD,na,yes
10,BST,HighSide_Driver_supply,-0.3,GND,na,na,2KV,,na,yes
11,SW,Inductor_switching_node,na,na,na,na,2KV,,na,yes
12,PGND,Power_Ground,-0.3,GND,0.3,GND,2KV,ESDdiodeB2B PGND -> GESD,na,yes
13,DFTSDA,i2c_data_inout,-0.3,GND,6,GND,2KV,ESDcore6 DFTSDA -> GESD,na,yes
14,DFTSCL,i2c_input_clock,-0.3,GND,6,GND,2KV,ESDcore6 DFTSCL -> GESD,na,yes
15,CELIND,DFT digital input testmode pad (Connect to GND),-0.3,GND,6,GND,2KV,ESDcore6 CELIND -> GESD,na,no
16,NC,No Connect,na,na,na,na,na,na,na,na
17,NC,No Connect,na,na,na,na,na,na,na,na
18,NC,No Connect,na,na,na,na,na,na,na,na
19,NC,No Connect,na,na,na,na,na,na,na,na
20,NC,No Connect,na,na,na,na,na,na,na,na
21,NC,No Connect,na,na,na,na,na,na,na,na
22,NC,No Connect,na,na,na,na,na,na,na,na
23,NC,No Connect,na,na,na,na,na,na,na,na
24,NC,No Connect,na,na,na,na,na,na,na,na
25,NC,No Connect,na,na,na,na,na,na,na,na
26,NC,No Connect,na,na,na,na,na,na,na,na
27,NC,No Connect,na,na,na,na,na,na,na,na
28,NC,No Connect,na,na,na,na,na,na,na,na
29,NC,No Connect,na,na,na,na,na,na,na,na
30,NC,No Connect,na,na,na,na,na,na,na,na
31,NC,No Connect,na,na,na,na,na,na,na,na
32,NC,No Connect,na,na,na,na,na,na,na,na
