TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
{},,,,,,,,
Slave Address 0x54,,,,,,,,
"XWALTZ,XceleraCORE,XCLOCK,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
38b575fc,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,0,TAI
a0,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,7,TAI
71505146,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,0,tdi
f614d104,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,1,tdi
b20889dd,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,2,tdi
7bb789c1,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,3,tdi
fc840bff,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,4,tdi
bdb7126b,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,5,tdi
5e7931f3,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,6,tdi
496698b1,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x02,7,tdi
38b575fc,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x01,0,ten
71505146,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x01,3,ten
f614d104,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x01,4,ten
b20889dd,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x01,5,ten
7bb789c1,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x01,6,ten
fc840bff,No desciption,dft_hex0x01,DFTtm8,0x54,0x01,0x01,7,ten
bdb7126b,No desciption,dft_hex0x02,DFTtm8t,0x54,0x02,0x01,0,ten
5e7931f3,No desciption,dft_hex0x02,DFTtm8t,0x54,0x02,0x01,1,ten
496698b1,No desciption,dft_hex0x02,DFTtm8t,0x54,0x02,0x01,2,ten
dft_hex0x02_ten,No desciption,dft_hex0x02,DFTtm8t,0x54,0x02,0x01,7,ten
hijack_1762d8ee,No desciption,dft_hex0x1A,DFTtm8t,0x54,0x1A,0x01,0,ten
hijacki_1762d8ee,No desciption,dft_hex0x1A,DFTtm8t,0x54,0x1A,0x01,1,ten
dft_hex0x1A_ten,No desciption,dft_hex0x1A,DFTtm8t,0x54,0x1A,0x01,7,ten
"XWALTZ,XceleraCORE,XCLOCK,XMAIN",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
osc_90c263a6,No desciption,dft_hex0x03,DFTtm8d,0x54,0x03,0x02,0,tdi
a0,No desciption,dft_hex0x03,DFTtm8d,0x54,0x03,0x02,7,tdi
