DRM Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Addresses,,,,,,,,,,,
Path,Instance,TMB,type,7,6,5,4,3,2,1,0
"XWALTZ,XceleraCORE,XCLOCK",drm_hex0x01,0x01,drm24,na,na,na,na,na,0x09,0x00,0x00
"XWALTZ,XceleraCORE,XCONTROL",drm_hex0x02,0x02,drm8,na,na,na,na,na,na,na,0x70
"XWALTZ,XceleraCORE,XDRIVER",drm_hex0x03,0x03,drm64,0x00,0x10,0x00,0x00,0x00,0x00,0x18,0x63
"XWALTZ,XceleraCORE,XFAULTMANAGER",drm_hex0x04,0x04,drm8,na,na,na,na,na,na,na,0x00
"XWALTZ,XceleraCORE,XREGULATION",drm_hex0x05,0x05,drm56,na,0x00,0x00,0x00,0x00,0x00,0x08,0x58
"XWALTZ,XceleraCORE,XSEQUENCER",drm_hex0x06,0x06,drm8,na,na,na,na,na,na,na,0x00
"XWALTZ,XceleraCORE,XSERVICE",drm_hex0x07,0x07,drm56,na,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"XWALTZ,XceleraCORE,XSOFTSTART",drm_hex0x08,0x08,drm8,na,na,na,na,na,na,na,0x00
DRM to Memory Check,,,,,,,,,,,
TOTAL dec,Allowed <= 61,,,,,,,,,,
37.0,61,,,,,,,,,,
