FACTORY ADDRESS REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Addresses,,,,,,,,,
Description,Name,TMB,Bank,Bits,Location,Por,User,path,rdl_data
Adjust_Minimum_off_time,CLOCKofftime,0x01,2,4,3:0,0x09,,"XWALTZ,XceleraCORE,XCLOCK,drm_hex0x01","{'nesto': '', 'fields': [{'desc': 'Adjust_Minimum_off_time', 'name': 'CLOCKofftime', 'enums': [{'desc': '0.0ns', 'name': 'Threshold_0.0ns'}, {'desc': '8.0ns', 'name': 'Threshold_8.0ns'}, {'desc': '16.0ns', 'name': 'Threshold_16.0ns'}, {'desc': '24.0ns', 'name': 'Threshold_24.0ns'}, {'desc': '32.0ns', 'name': 'Threshold_32.0ns'}, {'desc': '40.0ns', 'name': 'Threshold_40.0ns'}, {'desc': '48.0ns', 'name': 'Threshold_48.0ns'}, {'desc': '56.0ns', 'name': 'Threshold_56.0ns'}, {'desc': '64.0ns', 'name': 'Threshold_64.0ns'}, {'desc': '72.0ns', 'name': 'Threshold_72.0ns'}, {'desc': '80.0ns', 'name': 'Threshold_80.0ns'}, {'desc': '88.0ns', 'name': 'Threshold_88.0ns'}, {'desc': '96.0ns', 'name': 'Threshold_96.0ns'}, {'desc': '104.0ns', 'name': 'Threshold_104.0ns'}, {'desc': '112.0ns', 'name': 'Threshold_112.0ns'}, {'desc': '120.0ns', 'name': 'Threshold_120.0ns'}], 'function': 'range', 'range_lsb': 8.0, 'readwrite': 'readwrite', 'range_start': 0.0, 'range_units': 'ns'}]}"
Algorithm5p9_STATE_control,Algorithm5p9_statecontrol,0x02,0,5,4:0,0x10,,"XWALTZ,XceleraCORE,XCONTROL,drm_hex0x02","{'nesto': '', 'fields': []}"
CONTROL_configuration,CONTROLconfiguration,0x02,0,3,7:5,0x00,,"XWALTZ,XceleraCORE,XCONTROL,drm_hex0x02","{'nesto': '', 'fields': [{'desc': 'Operating_Mode', 'name': 'Operating_Mode', 'enums': [{'desc': 'Discontinous', 'name': 'Discontinous'}, {'desc': 'Continous', 'name': 'Continous'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'Blank_bottom', 'name': 'Blank_bottom', 'enums': [{'desc': 'Maximum_on_time_fault', 'name': 'Maximum_on_time_fault'}, {'desc': 'Blank_maximum_on_time', 'name': 'Blank_maximum_on_time'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'Blank_refresh', 'name': 'Blank_refresh', 'enums': [{'desc': 'Refresh_with_ok_driver', 'name': 'Refresh_with_ok_driver'}, {'desc': 'Blank_refresh', 'name': 'Blank_refresh'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
BBM_Status_Enabled,BBMstatus,0x03,0,2,1:0,0x03,,"XWALTZ,XceleraCORE,XDRIVER,drm_hex0x03","{'nesto': '', 'fields': [{'desc': 'Botom_status', 'name': 'Botom_status', 'enums': [{'desc': 'Enable', 'name': 'Enable'}, {'desc': 'Disable', 'name': 'Disable'}], 'function': 'function', 'readwrite': 'readwrite'}, {'desc': 'Top_status', 'name': 'Top_status', 'enums': [{'desc': 'Enable', 'name': 'Enable'}, {'desc': 'Disable', 'name': 'Disable'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
TOP_Switch_on_delay,TOPSWITCHstatusDELAY,0x03,0,5,6:2,0x18,,"XWALTZ,XceleraCORE,XDRIVER,drm_hex0x03","{'nesto': 'timingskew_c85f9998', 'fields': [{'desc': 'TOPSWITCHstatusDELAY', 'name': 'TOPSWITCHstatusDELAY', 'function': 'code', 'readwrite': 'readonly'}]}"
Disable_slope_current,DISABLEslope,0x03,0,1,7:7,0x00,,"XWALTZ,XceleraCORE,XDRIVER,drm_hex0x03","{'nesto': '', 'fields': [{'desc': 'SLOPE_curent', 'name': 'SLOPE_curent', 'enums': [{'desc': 'enable', 'name': 'enable'}, {'desc': 'disable', 'name': 'disable'}], 'function': 'function', 'readwrite': 'readwrite'}]}"
BOT_Switch_on_delay,BOTTOMSWITCHstatusDELAY,0x03,1,5,4:0,0x18,,"XWALTZ,XceleraCORE,XDRIVER,drm_hex0x03","{'nesto': 'timingskew_c85f9998', 'fields': [{'desc': 'BOTTOMSWITCHstatusDELAY', 'name': 'BOTTOMSWITCHstatusDELAY', 'function': 'code', 'readwrite': 'readonly'}]}"
