DFT CELL ADDRESS REPORT (Rich),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
General,,,,,,,,,,
0,,,,,,,,,,
Slave Address 0x54,,,,,,,,,,
Addresses,,,,,,,,,,
File,Cell Desc,Address,Ten,Bit,A/D,Address,Desc,Bit,POR,POR
global_cboot_35156756_XU17,global_cboot_35156756_XU17,0x07,T,4,257,257,257,257,0,0
global_comparator_70e67769_XU3,global_comparator_70e67769_XU3,0x0D,T,5,257,257,257,257,0,0
global_comparator_75c89176_XU16,global_comparator_75c89176_XU16,0x12,T,5,257,257,257,257,0,0
global_comparator_ddbf938d_XU22,global_comparator_ddbf938d_XU22,0x0D,T,4,257,257,257,257,0,0
global_currentlimit_2d447a5c_XU17,global_currentlimit_2d447a5c_XU17,0x05,T,0,257,257,257,257,0,0
global_currentlimit_945fe712_XU8,global_currentlimit_945fe712_XU8,0x05,T,2,257,257,257,257,0,0
global_currentlimit_a0afb596_XU9,global_currentlimit_a0afb596_XU9,0x05,T,4,257,257,257,257,0,0
global_fetdriver_bd0adf3c_Xfetdriver1,global_fetdriver_bd0adf3c_Xfetdriver1,0x05,T,6,257,257,257,257,0,0
global_gm_9015e2a4_XU1,global_gm_9015e2a4_XU1,0x0E,T,7,257,257,257,257,0,0
global_resistordivider_37d49b79_XU17,global_resistordivider_37d49b79_XU17,0x0D,T,3,257,257,257,257,0,0
global_slopecomp_f4252e65_XU22,global_slopecomp_f4252e65_XU22,0x07,T,6,257,257,257,257,0,0
global_vbuffer_e96a4067_XU8,global_vbuffer_e96a4067_XU8,0x0D,T,7,257,257,257,257,0,0
ten_016e5221_XU14,ten_016e5221_XU14,0x03,T,0,D,0x03,tdi_016e5221_XU14,0,0,0
ten_0721e5d9_XU56,ten_0721e5d9_XU56,0x10,T,2,D,0x10,tdi_0721e5d9_XU56,2,0,0
ten_10af5487_XU89,ten_10af5487_XU89,0x03,T,4,D,0x03,tdi_10af5487_XU89,4,0,0
ten_14c9168a_XU7,ten_14c9168a_XU7,0x0D,T,0,257,257,257,257,0,0
ten_162b659f_XU9,ten_162b659f_XU9,0x0E,T,6,257,257,257,257,0,0
ten_1955111b_XU7,ten_1955111b_XU7,0x12,T,4,257,257,257,257,0,0
ten_1d78f0e4_XU13,ten_1d78f0e4_XU13,0x0C,T,2,257,257,257,257,0,0
ten_2958f818_XU61,ten_2958f818_XU61,0x10,T,7,D,0x10,tdi_2958f818_XU61,7,0,0
ten_29fa69a5_XU60,ten_29fa69a5_XU60,0x10,T,6,D,0x10,tdi_29fa69a5_XU60,6,0,0
ten_2a0216d2_XU20,ten_2a0216d2_XU20,0x06,T,5,257,257,257,257,0,0
