DFT Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Addresses,,,
Path,Instance,TMA,type
"XWALTZ,XceleraCORE,XCLOCK",dft_hex0x01,0x01,DFTtm8
"XWALTZ,XceleraCORE,XCLOCK",dft_hex0x02,0x02,DFTtm8d
"XWALTZ,XceleraCORE,XCONTROL",dft_hex0x03,0x03,DFTtm8d
"XWALTZ,XceleraCORE,XCONTROL",dft_hex0x04,0x04,DFTtm8d
"XWALTZ,XceleraCORE,XDRIVER",dft_hex0x05,0x05,DFTtm8
"XWALTZ,XceleraCORE,XDRIVER",dft_hex0x06,0x06,DFTtm8d
"XWALTZ,XceleraCORE,XDRIVER",dft_hex0x07,0x07,DFTtm8t
"XWALTZ,XceleraCORE,XDRIVER",dft_hex0x08,0x08,DFTtm8t
"XWALTZ,XceleraCORE,XFAULTMANAGER",dft_hex0x09,0x09,DFTtm8d
"XWALTZ,XceleraCORE,XFAULTMANAGER",dft_hex0x0A,0x0A,DFTtm8t
"XWALTZ,XceleraCORE,XFAULTMANAGER",dft_hex0x0B,0x0B,DFTtm8t
"XWALTZ,XceleraCORE,XPOWERGOOD",dft_hex0x0C,0x0C,DFTtm8
"XWALTZ,XceleraCORE,XPOWERGOOD",dft_hex0x0D,0x0D,DFTtm8t
"XWALTZ,XceleraCORE,XREGULATION",dft_hex0x0E,0x0E,DFTtm8
"XWALTZ,XceleraCORE,XREGULATION",dft_hex0x0F,0x0F,DFTtm8t
"XWALTZ,XceleraCORE,XSEQUENCER",dft_hex0x10,0x10,DFTtm8d
"XWALTZ,XceleraCORE,XSEQUENCER",dft_hex0x11,0x11,DFTtm8d
"XWALTZ,XceleraCORE,XSERVICE",dft_hex0x12,0x12,DFTtm8
"XWALTZ,XceleraCORE,XSERVICE",dft_hex0x13,0x13,DFTtm8t
"XWALTZ,XceleraCORE,XSOFTSTART",dft_hex0x14,0x14,DFTtm8
"XWALTZ,XceleraCORE,XSOFTSTART",dft_hex0x15,0x15,DFTtm8t
